Name	Group	Profile	Enabled	Action	Override	Program	Local Address	Remote Address	Protocol	Local Port	Remote Port	Authorized Computers	Authorized Local Principals	Local User Owner	PolicyAppId	Application Package	
BelkinIn Source Wireshark		All	Yes	Block	No	Any	169.254.56.138	Any	Any	Any	Any	Any	Any	Any	None	Any	
@FirewallAPI.dll,-80204	@FirewallAPI.dll,-80200	All	Yes	Allow	No	%SystemRoot%\system32\svchost.exe	Any	Local subnet	TCP	Any	554, 8554-8558	Any	Any	Any	None	Any	
Skype	{78E1CD88-49E3-476E-B926-580E596AD309}	All	Yes	Block	No	C:\Program Files\WindowsApps\Microsoft.SkypeApp_15.82.404.0_x86__kzf8qxf38zg5c\Skype\Skype.exe	Any	Any	TCP	Any	Any	Any	Any	Any	None	Any	
Skype	{78E1CD88-49E3-476E-B926-580E596AD309}	All	Yes	Block	No	C:\Program Files\WindowsApps\Microsoft.SkypeApp_15.82.404.0_x86__kzf8qxf38zg5c\Skype\Skype.exe	Any	Any	UDP	Any	Any	Any	Any	Any	None	Any	
Acrobat Notification Client	Acrobat Notification Client	All	Yes	Allow	No	Any	Any	Any	Any	Any	Any	Any	Any	DESKTOP-AMT4E7R\Commistun	None	acrobatnotificationclient_e1rzdqpraam7r	
AllJoyn Router (TCP-Out)	AllJoyn Router	Domain, Private	Yes	Block	No	%SystemRoot%\system32\svchost.exe	Any	Any	TCP	Any	Any	Any	Any	Any	None	Any	
AllJoyn Router (UDP-Out)	AllJoyn Router	Domain, Private	Yes	Block	No	%SystemRoot%\system32\svchost.exe	Any	Any	UDP	Any	Any	Any	Any	Any	None	Any	
App Installer	App Installer	All	Yes	Allow	No	Any	Any	Any	Any	Any	Any	Any	Any	DESKTOP-AMT4E7R\Commistun	None	microsoft.desktopappinstaller_8wekyb3d8bbwe	
BranchCache Content Retrieval (HTTP-Out)	BranchCache - Content Retrieval (Uses HTTP)	All	Yes	Block	No	SYSTEM	Any	Any	TCP	Any	80	Any	Any	Any	None	Any	
BranchCache Hosted Cache Client (HTTP-Out)	BranchCache - Hosted Cache Client (Uses HTTPS)	All	Yes	Block	No	SYSTEM	Any	Any	TCP	Any	80, 443	Any	Any	Any	None	Any	
BranchCache Hosted Cache Server(HTTP-Out)	BranchCache - Hosted Cache Server (Uses HTTPS)	All	Yes	Block	No	SYSTEM	Any	Any	TCP	80, 443	Any	Any	Any	Any	None	Any	
BranchCache Peer Discovery (WSD-Out)	BranchCache - Peer Discovery (Uses WSD)	All	Yes	Block	No	%systemroot%\system32\svchost.exe	Any	Local subnet	UDP	Any	3702	Any	Any	Any	None	Any	
Cast to Device functionality (qWave-TCP-Out)	Cast to Device functionality	Private, Public	Yes	Block	No	%SystemRoot%\system32\svchost.exe	Any	PlayTo Renderers	TCP	Any	2177	Any	Any	Any	None	Any	
Cast to Device functionality (qWave-UDP-Out)	Cast to Device functionality	Private, Public	Yes	Block	No	%SystemRoot%\system32\svchost.exe	Any	PlayTo Renderers	UDP	Any	2177	Any	Any	Any	None	Any	
Cast to Device streaming server (RTP-Streaming-Out)	Cast to Device functionality	Private	Yes	Block	No	%SystemRoot%\system32\mdeserver.exe	Any	Local subnet	UDP	Any	Any	Any	Any	Any	None	Any	
Cast to Device streaming server (RTP-Streaming-Out)	Cast to Device functionality	Domain	Yes	Block	No	%SystemRoot%\system32\mdeserver.exe	Any	Any	UDP	Any	Any	Any	Any	Any	None	Any	
Cast to Device streaming server (RTP-Streaming-Out)	Cast to Device functionality	Public	Yes	Block	No	%SystemRoot%\system32\mdeserver.exe	Any	PlayTo Renderers	UDP	Any	Any	Any	Any	Any	None	Any	
Cloud Identity (TCP-Out)	Cloud Identity	All	Yes	Block	No	%SystemRoot%\system32\svchost.exe	Any	Any	TCP	Any	443	Any	Any	Any	None	Any	
Connected Devices Platform - Wi-Fi Direct Transport (TCP-Out)	Connected Devices Platform	Public	Yes	Block	No	%SystemRoot%\system32\svchost.exe	Any	Any	TCP	Any	Any	Any	Any	Any	None	Any	
Connected Devices Platform (TCP-Out)	Connected Devices Platform	Domain, Private	Yes	Block	No	%SystemRoot%\system32\svchost.exe	Any	Any	TCP	Any	Any	Any	Any	Any	None	Any	
Connected Devices Platform (UDP-Out)	Connected Devices Platform	Domain, Private	Yes	Block	No	%SystemRoot%\system32\svchost.exe	Any	Any	UDP	Any	Any	Any	Any	Any	None	Any	
Core Networking - DNS (UDP-Out)	Core Networking	All	Yes	Allow	No	%SystemRoot%\system32\svchost.exe	Any	Any	UDP	Any	53	Any	Any	Any	None	Any	
Core Networking - Dynamic Host Configuration Protocol (DHCP-Out)	Core Networking	All	Yes	Allow	No	%SystemRoot%\system32\svchost.exe	Any	Any	UDP	68	67	Any	Any	Any	None	Any	
Core Networking - Dynamic Host Configuration Protocol for IPv6(DHCPV6-Out)	Core Networking	All	Yes	Allow	No	%SystemRoot%\system32\svchost.exe	Any	Any	UDP	546	547	Any	Any	Any	None	Any	
Core Networking - Group Policy (LSASS-Out)	Core Networking	Domain	Yes	Block	No	%SystemRoot%\system32\lsass.exe	Any	Any	TCP	Any	Any	Any	Any	Any	None	Any	
Core Networking - Group Policy (NP-Out)	Core Networking	Domain	Yes	Block	No	System	Any	Any	TCP	Any	445	Any	Any	Any	None	Any	
Core Networking - Group Policy (TCP-Out)	Core Networking	Domain	Yes	Block	No	%SystemRoot%\system32\svchost.exe	Any	Any	TCP	Any	Any	Any	Any	Any	None	Any	
Core Networking - Internet Group Management Protocol (IGMP-Out)	Core Networking	All	Yes	Block	No	System	Any	Any	IGMP	Any	Any	Any	Any	Any	None	Any	
Core Networking - IPHTTPS (TCP-Out)	Core Networking	All	Yes	Allow	No	%SystemRoot%\system32\svchost.exe	Any	Any	TCP	Any	IPHTTPS	Any	Any	Any	None	Any	
Core Networking - IPv6 (IPv6-Out)	Core Networking	All	Yes	Allow	No	System	Any	Any	IPv6	Any	Any	Any	Any	Any	None	Any	
Core Networking - Multicast Listener Done (ICMPv6-Out)	Core Networking	All	Yes	Block	No	System	Any	Local subnet	ICMPv6	Any	Any	Any	Any	Any	None	Any	
Core Networking - Multicast Listener Query (ICMPv6-Out)	Core Networking	All	Yes	Block	No	System	Any	Local subnet	ICMPv6	Any	Any	Any	Any	Any	None	Any	
Core Networking - Multicast Listener Report (ICMPv6-Out)	Core Networking	All	Yes	Block	No	System	Any	Local subnet	ICMPv6	Any	Any	Any	Any	Any	None	Any	
Core Networking - Multicast Listener Report v2 (ICMPv6-Out)	Core Networking	All	Yes	Block	No	System	Any	Local subnet	ICMPv6	Any	Any	Any	Any	Any	None	Any	
Core Networking - Neighbor Discovery Advertisement (ICMPv6-Out)	Core Networking	All	Yes	Block	No	System	Any	Any	ICMPv6	Any	Any	Any	Any	Any	None	Any	
Core Networking - Neighbor Discovery Solicitation (ICMPv6-Out)	Core Networking	All	Yes	Block	No	System	Any	Any	ICMPv6	Any	Any	Any	Any	Any	None	Any	
Core Networking - Packet Too Big (ICMPv6-Out)	Core Networking	All	Yes	Block	No	System	Any	Any	ICMPv6	Any	Any	Any	Any	Any	None	Any	
Core Networking - Parameter Problem (ICMPv6-Out)	Core Networking	All	Yes	Block	No	System	Any	Any	ICMPv6	Any	Any	Any	Any	Any	None	Any	
Core Networking - Router Advertisement (ICMPv6-Out)	Core Networking	All	Yes	Block	No	System	fe80::/64	Local subnet, ff02::1, fe80::/64	ICMPv6	Any	Any	Any	Any	Any	None	Any	
Core Networking - Router Solicitation (ICMPv6-Out)	Core Networking	All	Yes	Block	No	System	Any	Local subnet, ff02::2, fe80::/64	ICMPv6	Any	Any	Any	Any	Any	None	Any	
Core Networking - Teredo (UDP-Out)	Core Networking	All	Yes	Block	No	%SystemRoot%\system32\svchost.exe	Any	Any	UDP	Any	Any	Any	Any	Any	None	Any	
Core Networking - Time Exceeded (ICMPv6-Out)	Core Networking	All	Yes	Block	No	System	Any	Any	ICMPv6	Any	Any	Any	Any	Any	None	Any	
Core Networking Diagnostics - ICMP Echo Request (ICMPv4-Out)	Core Networking Diagnostics	Domain	Yes	Block	No	System	Any	Any	ICMPv4	Any	Any	Any	Any	Any	None	Any	
Core Networking Diagnostics - ICMP Echo Request (ICMPv4-Out)	Core Networking Diagnostics	Private, Public	Yes	Block	No	System	Any	Local subnet	ICMPv4	Any	Any	Any	Any	Any	None	Any	
Core Networking Diagnostics - ICMP Echo Request (ICMPv6-Out)	Core Networking Diagnostics	Domain	Yes	Block	No	System	Any	Any	ICMPv6	Any	Any	Any	Any	Any	None	Any	
Core Networking Diagnostics - ICMP Echo Request (ICMPv6-Out)	Core Networking Diagnostics	Private, Public	Yes	Block	No	System	Any	Local subnet	ICMPv6	Any	Any	Any	Any	Any	None	Any	
Connected User Experiences and Telemetry	DiagTrack	All	Yes	Block	No	%SystemRoot%\system32\svchost.exe	Any	Any	TCP	Any	443	Any	Any	Any	None	Any	
Distributed Transaction Coordinator (TCP-Out)	Distributed Transaction Coordinator	Domain	Yes	Block	No	%SystemRoot%\system32\msdtc.exe	Any	Any	TCP	Any	Any	Any	Any	Any	None	Any	
Distributed Transaction Coordinator (TCP-Out)	Distributed Transaction Coordinator	Private, Public	Yes	Block	No	%SystemRoot%\system32\msdtc.exe	Any	Local subnet	TCP	Any	Any	Any	Any	Any	None	Any	
File and Printer Sharing (Echo Request - ICMPv4-Out)	File and Printer Sharing	Domain	Yes	Block	No	System	Any	Any	ICMPv4	Any	Any	Any	Any	Any	None	Any	
File and Printer Sharing (Echo Request - ICMPv4-Out)	File and Printer Sharing	Private, Public	Yes	Block	No	System	Any	Local subnet	ICMPv4	Any	Any	Any	Any	Any	None	Any	
File and Printer Sharing (Echo Request - ICMPv6-Out)	File and Printer Sharing	Private, Public	Yes	Block	No	System	Any	Local subnet	ICMPv6	Any	Any	Any	Any	Any	None	Any	
File and Printer Sharing (Echo Request - ICMPv6-Out)	File and Printer Sharing	Domain	Yes	Block	No	System	Any	Any	ICMPv6	Any	Any	Any	Any	Any	None	Any	
