Name	Group	Profile	Enabled	Action	Override	Program	Local Address	Remote Address	Protocol	Local Port	Remote Port	Authorized Users	Authorized Computers	Authorized Local Principals	Local User Owner	PolicyAppId	Application Package	
BelkinIn Source Wireshark		All	Yes	Block	No	Any	169.254.56.138	Any	Any	Any	Any	Any	Any	Any	Any	None	Any	
Bonjour Service		Public	Yes	Block	No	C:\Program Files\Bonjour\mDNSResponder.exe	Any	Any	TCP	Any	Any	Any	Any	Any	Any	None	Any	
Bonjour Service		Public	Yes	Block	No	C:\Program Files\Bonjour\mDNSResponder.exe	Any	Any	UDP	Any	Any	Any	Any	Any	Any	None	Any	
Bonjour Service		Public	Yes	Block	No	C:\Program Files (x86)\Bonjour\mDNSResponder.exe	Any	Any	TCP	Any	Any	Any	Any	Any	Any	None	Any	
Bonjour Service		Public	Yes	Block	No	C:\Program Files (x86)\Bonjour\mDNSResponder.exe	Any	Any	UDP	Any	Any	Any	Any	Any	Any	None	Any	
Firefox		Public	Yes	Allow	No	C:\program files\mozilla firefox\firefox.exe	Any	Any	UDP	Any	Any	Any	Any	Any	Any	None	Any	
Firefox		Public	Yes	Allow	No	C:\program files\mozilla firefox\firefox.exe	Any	Any	TCP	Any	Any	Any	Any	Any	Any	None	Any	
Firefox (C:\Program Files\Mozilla Firefox)		Private	Yes	Allow	No	C:\Program Files\Mozilla Firefox\firefox.exe	Any	Any	UDP	Any	Any	Any	Any	Any	Any	None	Any	
Firefox (C:\Program Files\Mozilla Firefox)		Private	Yes	Allow	No	C:\Program Files\Mozilla Firefox\firefox.exe	Any	Any	TCP	Any	Any	Any	Any	Any	Any	None	Any	
opera.exe		Private, Public	Yes	Allow	No	C:\users\commistun\appdata\local\programs\opera\opera.exe	Any	Any	UDP	Any	Any	Any	Any	Any	Any	None	Any	
opera.exe		Private, Public	Yes	Allow	No	C:\users\commistun\appdata\local\programs\opera\opera.exe	Any	Any	TCP	Any	Any	Any	Any	Any	Any	None	Any	
Packet Tracer Executable		Public	Yes	Block	No	C:\program files\cisco packet tracer 8.2.0\bin\packettracer.exe	Any	Any	UDP	Any	Any	Any	Any	Any	Any	None	Any	
Packet Tracer Executable		Private	Yes	Allow	No	C:\program files\cisco packet tracer 8.2.0\bin\packettracer.exe	Any	Any	TCP	Any	Any	Any	Any	Any	Any	None	Any	
Packet Tracer Executable		Public	Yes	Block	No	C:\program files\cisco packet tracer 8.2.0\bin\packettracer.exe	Any	Any	TCP	Any	Any	Any	Any	Any	Any	None	Any	
Packet Tracer Executable		Private	Yes	Allow	No	C:\program files\cisco packet tracer 8.2.0\bin\packettracer.exe	Any	Any	UDP	Any	Any	Any	Any	Any	Any	None	Any	
sshd		Private, Public	Yes	Allow	No	C:\program files (x86)\x2goclient\sshd.exe	Any	Any	TCP	Any	Any	Any	Any	Any	Any	None	Any	
sshd		Private, Public	Yes	Allow	No	C:\program files (x86)\x2goclient\sshd.exe	Any	Any	UDP	Any	Any	Any	Any	Any	Any	None	Any	
VcXsrv windows xserver		Private, Public	Yes	Allow	No	C:\program files (x86)\x2goclient\vcxsrv\vcxsrv.exe	Any	Any	TCP	Any	Any	Any	Any	Any	Any	None	Any	
VcXsrv windows xserver		Private, Public	Yes	Allow	No	C:\program files (x86)\x2goclient\vcxsrv\vcxsrv.exe	Any	Any	UDP	Any	Any	Any	Any	Any	Any	None	Any	
@FirewallAPI.dll,-80201	@FirewallAPI.dll,-80200	All	Yes	Allow	No	%SystemRoot%\system32\svchost.exe	Any	Local subnet	TCP	554, 8554-8558	Any	Any	Any	Any	Any	None	Any	
@FirewallAPI.dll,-80206	@FirewallAPI.dll,-80200	All	Yes	Allow	No	%SystemRoot%\system32\svchost.exe	Any	Local subnet	UDP	5000-5020	Any	Any	Any	Any	Any	None	Any	
Cast to Device functionality (qWave-TCP-In)	Cast to Device functionality	Private, Public	Yes	Block	No	%SystemRoot%\system32\svchost.exe	Any	PlayTo Renderers	TCP	2177	Any	Any	Any	Any	Any	None	Any	
Cast to Device functionality (qWave-UDP-In)	Cast to Device functionality	Private, Public	Yes	Block	No	%SystemRoot%\system32\svchost.exe	Any	PlayTo Renderers	UDP	2177	Any	Any	Any	Any	Any	None	Any	
Cast to Device SSDP Discovery (UDP-In)	Cast to Device functionality	Public	Yes	Block	No	%SystemRoot%\system32\svchost.exe	Any	Any	UDP	PlayTo Discovery	Any	Any	Any	Any	Any	None	Any	
Cast to Device streaming server (HTTP-Streaming-In)	Cast to Device functionality	Domain	Yes	Block	No	System	Any	Any	TCP	10246	Any	Any	Any	Any	Any	None	Any	
Cast to Device streaming server (HTTP-Streaming-In)	Cast to Device functionality	Private	Yes	Block	No	System	Any	Local subnet	TCP	10246	Any	Any	Any	Any	Any	None	Any	
Cast to Device streaming server (HTTP-Streaming-In)	Cast to Device functionality	Public	Yes	Block	No	System	Any	PlayTo Renderers	TCP	10246	Any	Any	Any	Any	Any	None	Any	
Cast to Device streaming server (RTCP-Streaming-In)	Cast to Device functionality	Private	Yes	Block	No	%SystemRoot%\system32\mdeserver.exe	Any	Local subnet	UDP	Any	Any	Any	Any	Any	Any	None	Any	
Cast to Device streaming server (RTCP-Streaming-In)	Cast to Device functionality	Public	Yes	Block	No	%SystemRoot%\system32\mdeserver.exe	Any	PlayTo Renderers	UDP	Any	Any	Any	Any	Any	Any	None	Any	
Cast to Device streaming server (RTCP-Streaming-In)	Cast to Device functionality	Domain	Yes	Block	No	%SystemRoot%\system32\mdeserver.exe	Any	Any	UDP	Any	Any	Any	Any	Any	Any	None	Any	
Cast to Device streaming server (RTSP-Streaming-In)	Cast to Device functionality	Public	Yes	Block	No	%SystemRoot%\system32\mdeserver.exe	Any	PlayTo Renderers	TCP	23554, 23555, 23556	Any	Any	Any	Any	Any	None	Any	
